City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Kolkata,05/08/2018,33.39,57.79,8.47,35.27,43.75,5.99,1.4,1.89,12.39,1.79,17.18,81,Satisfactory
Kolkata,06/08/2018,33.48,67.16,14.37,35.57,49.93,7.44,1.54,1.4,6.72,5.68,15.27,85,Satisfactory
Kolkata,07/08/2018,15.58,34.3,5.41,27.7,33.1,5.44,1.23,1.24,13.31,3.15,14.22,77,Satisfactory
Kolkata,08/08/2018,18.05,36.65,5.88,28.5,34.38,14.51,1.17,1.56,14.31,2.11,10.57,66,Satisfactory
Kolkata,09/08/2018,17.7,39.71,7.34,35.14,42.47,11.48,1.27,1.58,10.88,3.4,11.59,70,Satisfactory
Kolkata,10/08/2018,22.57,46.16,5.46,33.86,39.32,9.57,1.26,1.59,15.59,1.52,11.15,73,Satisfactory
Kolkata,11/08/2018,19.17,41.21,5.27,24.94,30.21,9.27,1.23,1.61,12.25,1.27,13.4,68,Satisfactory
Kolkata,12/08/2018,16.08,35.46,5.94,22.15,28.08,8.89,1.22,1.51,8.91,1.23,13.96,68,Satisfactory
Kolkata,13/08/2018,14.69,29.3,7.33,31.05,39,18.23,1.2,1.23,6.46,3.46,10.11,68,Satisfactory
Kolkata,14/08/2018,11.39,26.66,7.84,27.41,35.24,10.73,1.23,1.28,5.15,6.76,10.34,68,Satisfactory
Kolkata,15/08/2018,6.93,19.88,4.24,18.78,23.01,11.82,1.13,1.41,10.69,4.4,11.83,63,Satisfactory
Kolkata,16/08/2018,12.13,31.55,24.49,34.19,50.75,13.46,1.18,1.14,8.29,5.33,10.43,67,Satisfactory
Kolkata,17/08/2018,16.13,35.59,5.86,29.94,35.8,10.77,1.25,1.35,10.76,2.18,11.96,72,Satisfactory
Kolkata,18/08/2018,17,39.15,7.18,30.19,37.37,13.07,1.18,1.53,9.19,2.19,10.41,66,Satisfactory
Kolkata,19/08/2018,27.16,54.35,11.16,37.33,48.49,10.9,1.34,1.61,4.15,2.57,11.19,76,Satisfactory
Kolkata,20/08/2018,12.88,23.27,8.91,22.88,31.45,13.78,1.18,1.38,9.86,1.52,8.93,63,Satisfactory
Kolkata,21/08/2018,8.15,25.76,6.41,27.65,34.06,14.38,1.21,1.11,8.99,1.78,9.9,65,Satisfactory
Kolkata,22/08/2018,23.34,36.64,3.18,28.27,31.44,10.2,1.34,1.23,20.79,1.69,9.3,76,Satisfactory
Kolkata,23/08/2018,30.55,48.8,4.04,31.51,35.54,8.77,1.26,3.31,23.28,1.13,9.54,69,Satisfactory
Kolkata,24/08/2018,30.26,47.99,5.95,33.67,39.64,8.5,1.29,2.32,19.33,1.45,9.19,70,Satisfactory
Kolkata,25/08/2018,20.94,39.66,9.95,31.93,41.87,7.49,1.24,1.39,8.12,1.89,11.4,71,Satisfactory
Kolkata,26/08/2018,7.93,25.17,3.4,14.88,18.28,7.25,1.04,1.1,9.41,0.93,10.61,59,Satisfactory
Kolkata,27/08/2018,7.05,26.27,5.23,20.95,26.22,8.73,1.09,1.06,10.7,1.79,9.76,57,Satisfactory
Kolkata,28/08/2018,12.35,26.25,6.82,25.72,32.54,11.04,1.14,1.22,9.04,1.77,8.14,61,Satisfactory
Kolkata,29/08/2018,14.53,32.85,14.8,33.06,47.86,11.51,1.03,1.13,6.92,2.7,7.6,63,Satisfactory
Kolkata,30/08/2018,29.25,46.54,4.64,43.96,48.61,10.49,1.36,1.47,6.73,2.43,7.28,74,Satisfactory
